,lstrLevel,lsregion,lscc,lsccDesc,lsrcode,lsrcodeDesc,lsaa,lsaaDesc,lstt,lsttDesc,lsmm,lsmmDesc,lsyymm,lssumtotMale,lssumtotFemale,lssumtotTot
24,0,0,36,จังหวัดชัยภูมิ, , ,0, ,0, ,0, ,6602,550757,566053,1116810
25,0,0,37,จังหวัดอำนาจเจริญ, , ,0, ,0, ,0, ,6602,186507,188709,375216
26,0,0,38,จังหวัดบึงกาฬ, , ,0, ,0, ,0, ,6602,210915,210465,421380
27,0,0,39,จังหวัดหนองบัวลำภู, , ,0, ,0, ,0, ,6602,253059,254889,507948
28,0,0,40,จังหวัดขอนแก่น, , ,0, ,0, ,0, ,6602,875490,908032,1783522
29,0,0,41,จังหวัดอุดรธานี, , ,0, ,0, ,0, ,6602,771736,790327,1562063
30,0,0,42,จังหวัดเลย, , ,0, ,0, ,0, ,6602,318905,318060,636965
31,0,0,43,จังหวัดหนองคาย, , ,0, ,0, ,0, ,6602,255237,260356,515593
32,0,0,44,จังหวัดมหาสารคาม, , ,0, ,0, ,0, ,6602,462373,481119,943492
33,0,0,45,จังหวัดร้อยเอ็ด, , ,0, ,0, ,0, ,6602,638408,651713,1290121
34,0,0,46,จังหวัดกาฬสินธุ์, , ,0, ,0, ,0, ,6602,479403,491898,971301
35,0,0,47,จังหวัดสกลนคร, , ,0, ,0, ,0, ,6602,568297,576441,1144738
36,0,0,48,จังหวัดนครพนม, , ,0, ,0, ,0, ,6602,356665,359539,716204
37,0,0,49,จังหวัดมุกดาหาร, , ,0, ,0, ,0, ,6602,175590,176107,351697
38,0,0,50,จังหวัดเชียงใหม่, , ,0, ,0, ,0, ,6602,864423,928401,1792824
39,0,0,51,จังหวัดลำพูน, , ,0, ,0, ,0, ,6602,191389,207818,399207
40,0,0,52,จังหวัดลำปาง, , ,0, ,0, ,0, ,6602,348794,368614,717408
41,0,0,53,จังหวัดอุตรดิตถ์, , ,0, ,0, ,0, ,6602,215392,227060,442452
42,0,0,54,จังหวัดแพร่, , ,0, ,0, ,0, ,6602,206823,223133,429956
43,0,0,55,จังหวัดน่าน, , ,0, ,0, ,0, ,6602,236783,237426,474209
44,0,0,56,จังหวัดพะเยา, , ,0, ,0, ,0, ,6602,223782,237103,460885
45,0,0,57,จังหวัดเชียงราย, , ,0, ,0, ,0, ,6602,630435,668960,1299395
46,0,0,58,จังหวัดแม่ฮ่องสอน, , ,0, ,0, ,0, ,6602,145207,141673,286880
47,0,0,60,จังหวัดนครสวรรค์, , ,0, ,0, ,0, ,6602,500598,526978,1027576
48,0,0,61,จังหวัดอุทัยธานี, , ,0, ,0, ,0, ,6602,157924,165588,323512
49,0,0,62,จังหวัดกำแพงเพชร, , ,0, ,0, ,0, ,6602,349316,358779,708095
50,0,0,63,จังหวัดตาก, , ,0, ,0, ,0, ,6602,346322,338999,685321
51,0,0,64,จังหวัดสุโขทัย, , ,0, ,0, ,0, ,6602,281058,299911,580969
52,0,0,65,จังหวัดพิษณุโลก, , ,0, ,0, ,0, ,6602,412281,431298,843579
53,0,0,66,จังหวัดพิจิตร, , ,0, ,0, ,0, ,6602,256054,269335,525389
54,0,0,67,จังหวัดเพชรบูรณ์, , ,0, ,0, ,0, ,6602,478525,493880,972405
55,0,0,70,จังหวัดราชบุรี, , ,0, ,0, ,0, ,6602,420122,445387,865509
56,0,0,71,จังหวัดกาญจนบุรี, , ,0, ,0, ,0, ,6602,448098,446406,894504
57,0,0,72,จังหวัดสุพรรณบุรี, , ,0, ,0, ,0, ,6602,399845,429888,829733
58,0,0,73,จังหวัดนครปฐม, , ,0, ,0, ,0, ,6602,442279,479714,921993
59,0,0,74,จังหวัดสมุทรสาคร, , ,0, ,0, ,0, ,6602,283604,306215,589819
60,0,0,75,จังหวัดสมุทรสงคราม, , ,0, ,0, ,0, ,6602,90234,98969,189203
61,0,0,76,จังหวัดเพชรบุรี, , ,0, ,0, ,0, ,6602,232560,250368,482928
62,0,0,77,จังหวัดประจวบคีรีขันธ์, , ,0, ,0, ,0, ,6602,271474,279948,551422
63,0,0,80,จังหวัดนครศรีธรรมราช, , ,0, ,0, ,0, ,6602,762401,781958,1544359
64,0,0,81,จังหวัดกระบี่, , ,0, ,0, ,0, ,6602,238530,241766,480296
65,0,0,82,จังหวัดพังงา, , ,0, ,0, ,0, ,6602,133368,133883,267251
66,0,0,83,จังหวัดภูเก็ต, , ,0, ,0, ,0, ,6602,197556,221439,418995
67,0,0,84,จังหวัดสุราษฎร์ธานี, , ,0, ,0, ,0, ,6602,527692,546292,1073984
68,0,0,85,จังหวัดระนอง, , ,0, ,0, ,0, ,6602,97714,96302,194016
69,0,0,86,จังหวัดชุมพร, , ,0, ,0, ,0, ,6602,251296,258085,509381
70,0,0,90,จังหวัดสงขลา, , ,0, ,0, ,0, ,6602,696658,734752,1431410
71,0,0,91,จังหวัดสตูล, , ,0, ,0, ,0, ,6602,161933,163435,325368
72,0,0,92,จังหวัดตรัง, , ,0, ,0, ,0, ,6602,311710,326202,637912
73,0,0,93,จังหวัดพัทลุง, , ,0, ,0, ,0, ,6602,253795,267843,521638
74,0,0,94,จังหวัดปัตตานี, , ,0, ,0, ,0, ,6602,362718,371064,733782
75,0,0,95,จังหวัดยะลา, , ,0, ,0, ,0, ,6602,271727,274714,546441
76,0,0,96,จังหวัดนราธิวาส, , ,0, ,0, ,0, ,6602,402899,411878,814777
0,0,0,10,กรุงเทพมหานคร, , ,0, ,0, ,0, ,6603,2568116,2920028,5488144
1,0,0,11,จังหวัดสมุทรปราการ, , ,0, ,0, ,0, ,6603,647989,715747,1363736
2,0,0,12,จังหวัดนนทบุรี, , ,0, ,0, ,0, ,6603,602603,695924,1298527
3,0,0,13,จังหวัดปทุมธานี, , ,0, ,0, ,0, ,6603,570594,634974,1205568
4,0,0,14,จังหวัดพระนครศรีอยุธยา, , ,0, ,0, ,0, ,6603,393756,427043,820799
5,0,0,15,จังหวัดอ่างทอง, , ,0, ,0, ,0, ,6603,130155,142074,272229
6,0,0,16,จังหวัดลพบุรี, , ,0, ,0, ,0, ,6603,365559,368501,734060
7,0,0,17,จังหวัดสิงห์บุรี, , ,0, ,0, ,0, ,6603,96148,106362,202510
8,0,0,18,จังหวัดชัยนาท, , ,0, ,0, ,0, ,6603,152539,165169,317708
9,0,0,19,จังหวัดสระบุรี, , ,0, ,0, ,0, ,6603,313227,325266,638493
10,0,0,20,จังหวัดชลบุรี, , ,0, ,0, ,0, ,6603,780397,820393,1600790
11,0,0,21,จังหวัดระยอง, , ,0, ,0, ,0, ,6603,374264,388294,762558
12,0,0,22,จังหวัดจันทบุรี, , ,0, ,0, ,0, ,6603,261831,274101,535932
13,0,0,23,จังหวัดตราด, , ,0, ,0, ,0, ,6603,112528,115105,227633
14,0,0,24,จังหวัดฉะเชิงเทรา, , ,0, ,0, ,0, ,6603,356102,371463,727565
15,0,0,25,จังหวัดปราจีนบุรี, , ,0, ,0, ,0, ,6603,246249,252236,498485
16,0,0,26,จังหวัดนครนายก, , ,0, ,0, ,0, ,6603,128224,131580,259804
17,0,0,27,จังหวัดสระแก้ว, , ,0, ,0, ,0, ,6603,281278,281705,562983
18,0,0,30,จังหวัดนครราชสีมา, , ,0, ,0, ,0, ,6603,1289431,1339240,2628671
19,0,0,31,จังหวัดบุรีรัมย์, , ,0, ,0, ,0, ,6603,780866,795186,1576052
20,0,0,32,จังหวัดสุรินทร์, , ,0, ,0, ,0, ,6603,681468,689951,1371419
21,0,0,33,จังหวัดศรีสะเกษ, , ,0, ,0, ,0, ,6603,723028,730538,1453566
22,0,0,34,จังหวัดอุบลราชธานี, , ,0, ,0, ,0, ,6603,931789,937280,1869069
23,0,0,35,จังหวัดยโสธร, , ,0, ,0, ,0, ,6603,264494,266668,531162
24,0,0,36,จังหวัดชัยภูมิ, , ,0, ,0, ,0, ,6603,550423,565867,1116290
25,0,0,37,จังหวัดอำนาจเจริญ, , ,0, ,0, ,0, ,6603,186459,188682,375141
26,0,0,38,จังหวัดบึงกาฬ, , ,0, ,0, ,0, ,6603,210870,210482,421352
27,0,0,39,จังหวัดหนองบัวลำภู, , ,0, ,0, ,0, ,6603,252968,254910,507878
28,0,0,40,จังหวัดขอนแก่น, , ,0, ,0, ,0, ,6603,874908,907743,1782651
29,0,0,41,จังหวัดอุดรธานี, , ,0, ,0, ,0, ,6603,771492,790138,1561630
30,0,0,42,จังหวัดเลย, , ,0, ,0, ,0, ,6603,318810,318053,636863
31,0,0,43,จังหวัดหนองคาย, , ,0, ,0, ,0, ,6603,255117,260285,515402
32,0,0,44,จังหวัดมหาสารคาม, , ,0, ,0, ,0, ,6603,462040,480579,942619
33,0,0,45,จังหวัดร้อยเอ็ด, , ,0, ,0, ,0, ,6603,638075,651614,1289689
34,0,0,46,จังหวัดกาฬสินธุ์, , ,0, ,0, ,0, ,6603,479253,491715,970968
35,0,0,47,จังหวัดสกลนคร, , ,0, ,0, ,0, ,6603,568174,576297,1144471
36,0,0,48,จังหวัดนครพนม, , ,0, ,0, ,0, ,6603,356519,359468,715987
37,0,0,49,จังหวัดมุกดาหาร, , ,0, ,0, ,0, ,6603,175627,176100,351727
38,0,0,50,จังหวัดเชียงใหม่, , ,0, ,0, ,0, ,6603,864562,928617,1793179
39,0,0,51,จังหวัดลำพูน, , ,0, ,0, ,0, ,6603,191373,207834,399207
